Scheme ID,Name,Objective,Focus Area,Financial Allocation,Target Crops,Region,Soil Health Card,Official Website
1,Pradhan Mantri KISAN Samman Nidhi (PM-KISAN),"Provide income support of  Rs 6,000 per year to all landholding farmer families in three equal installments.",Income Support,Fully funded by Government,All crops,All regions,Not applicable,pmkisan.gov.in
2,Pradhan Mantri Fasal Bima Yojana (PMFBY),"Provide comprehensive crop insurance to farmers against natural calamities, pests, and diseases.",Crop Insurance,Subsidized premiums,All crops,All regions,Not applicable,pmfby.gov.in
3,Ayushman Sahakar Scheme,Extend financial assistance to cooperatives for the creation of healthcare infrastructure in rural areas.,Rural Healthcare,Loan-based,Not crop-specific,Rural areas,Not applicable,ncdc.in
4,Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY),"Provide a pension of Rs 3,000 per month to small and marginal farmers upon attaining the age of 60 years.",Pension Scheme,Contribution-based,Not crop-specific,All regions,Not applicable,pmkmy.gov.in
5,Soil Health Cards (SHC) Scheme,Provide soil health cards to farmers containing nutrient status of their land and recommendations for appropriate dosage of nutrients.,Soil Health,Government-funded,All crops,All regions,Yes,soilhealth.dac.gov.in
6,Green Revolution – Krishonnati Yojana,Holistic development of agriculture and allied sectors to increase farmers' income.,Agriculture Development,Centrally Sponsored,Multiple crops,All regions,Not applicable,midh.gov.in
7,Pradhan Mantri Annadata Aay SanraksHan Abhiyan (PM-AASHA),Ensure remunerative prices to farmers for their produce through various procurement mechanisms.,Price Support,Government-funded,Various crops,All regions,Not applicable,india.gov.in
8,Paramparagat Krishi Vikas Yojana (PKVY),Promote organic farming through cluster-based approaches and Participatory Guarantee System of certification.,Organic Farming,60:40 (Centre:State),All crops,All regions,Yes,myscheme.gov.in
9,National Food Security Mission (NFSM),"Increase production of rice, wheat, pulses, coarse cereals, and commercial crops through area expansion and productivity enhancement.",Food Security,Centrally Sponsored,"Rice, Wheat, Pulses, etc.",All regions,Not applicable,nfsm.gov.in
10,Pandit Deen Dayal Upadhyay Unnat Krishi Shiksha Yojana (PDDUUKSY),Promote agricultural education and training to build skilled human resources at the village level.,Agricultural Education,Government-funded,Not crop-specific,All regions,Not applicable,pdduuksy.icar.gov.in
11,Rashtriya Gokul Mission (RGM),Development and conservation of indigenous bovine breeds to enhance milk production and productivity.,Livestock Development,"Rs 2,400 crore (2021-26)",Not crop-specific,All regions,Not applicable,dahd.gov.in
12,National Beekeeping and Honey Mission (NBHM),Promote holistic growth of the beekeeping industry for income and employment generation.,Beekeeping,Government-funded,Not crop-specific,All regions,Not applicable,nbb.gov.in
13,National Mission on Edible Oils  Oil Palm (NMEO-OP),Enhance edible oilseeds production and availability by promoting oil palm cultivation.,Oil Palm Cultivation,Government-funded,Oil Palm,Identified regions,Not applicable,nmeo.dac.gov.in
14,National Mission on Natural Farming (NMNF),Promote chemical-free and sustainable farming practices through natural farming methods.,Natural Farming,Government-funded,All crops,All regions,Yes,naturalfarming.dac.gov.in
